German;English;Spanish;French;Italian;Polish;Portuguese
MySQL;MySQL;MySQL;MySQL;MySQL;MySQL;MySQL
High Speed Block Storage;High Speed Block Storage;High Speed;High Speed Block Storage;High Speed;High Speed Block Storage;High Speed Block Storage
OVHcloud Load Balancer;OVHcloud Load Balancer;Load Balancer de OVHcloud;OVHcloud Load Balancer;Load Balancer OVHcloud;OVHcloud Load Balancer;Load Balancer da OVHcloud
;;;Environmental Impact Tracker;;Environmental Impact Tracker;
Trusted Exchange;Trusted Exchange;Trusted Exchange;Trusted Exchange;Trusted Exchange;Trusted Exchange;Trusted Exchange
;Collaborative solutions;Soluciones colaborativas;Solutions collaboratives;Soluzioni collaborative;Rozwiązania do pracy zespołowej;Soluções colaborativas
Data Processing Engine;Data Processing Engine;Data Processing Engine;Data Processing Engine;Data Processing Engine;Data Processing Engine;Data Processing Engine
Kafka Connect;Kafka Connect;Kafka Connect;Kafka Connect;Kafka Connect;Kafka Connect;Kafka Connect
On-Prem Cloud Platform;On-Prem Cloud Platform;On-Prem Cloud Platform;On-Prem Cloud Platform;On-Prem Cloud Platform;On-Prem Cloud Platform;On-Prem Cloud Platform
Advanced Collaborative Suite;Advanced collaborative suite;Suite colaborativa Advanced;Suite collaborative Advanced;Suite collaborativa Advance;Advanced collaborative suite;Suite colaborativa Advanced
Cloud Web 1;Cloud Web 1;Cloud Web 1;Cloud Web 1;Cloud Web 1;Cloud Web 1;Cloud Web 1
Local Zones;Local Zones;Local Zones;Local Zones;Local Zones;Local Zones;Local Zones
Volume Snapshot;Volume Snapshot;Volume Snapshot;Volume Snapshot;Volume Snapshot;Volume Snapshot;Volume Snapshot
CDN Security;CDN Security;CDN Security;CDN Security;CDN Security;CDN Security;CDN Security
CDN Advanced;CDN Advanced;CDN Advanced;CDN Advanced;CDN Advanced;CDN Advanced;CDN Advanced
Bring your own IP (BYOIP);Bring Your Own IP (BYOIP);Bring Your Own IP (BYOIP);Bring Your Own IP (BYOIP);Bring Your Own IP (BYOIP);Bring your own IP (BYOIP);Bring your own IP (BYOIP)
;business-critical information;;informations stratégique;;;
Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos;Hosted Private Cloud powered by Anthos
Backup;Backup;Backup;Backup;Backup;Backup;Backup
E-Mail Pro;Email Pro;Email Pro;E-mail Pro;Email Pro;E-mail Pro;E-mail Pro
Managed Big Data Cluster;Managed Big Data Cluster;Managed Big Data Cluster;Managed Big Data Cluster;Managed Big Data Cluster;Managed Big Data Cluster;Managed Big Data Cluster
Managed Private Registry;Managed Private Registry;Managed Private Registry;Managed Private Registry;Managed Private Registry;Managed Private Registry;Managed Private Registry
;Web Hosting;Hosting;Hébergements web;Hosting Web;Hosting;Alojamentos web
Scale;Scale;Scale;Scale;Scale;Scale;Scale
CDN Basic;CDN Basic;CDN Basic;CDN Basic;CDN Basic;CDN Basic;CDN Basic
;Network Services;Servicios de red;Services réseau;Servizi di rete;Usługi sieciowe;Serviços de rede
;Levels of support;Niveles de soporte;Niveaux de support;Livelli di supporto;Poziomy wsparcia;Níveis de suporte
Cold Archive;Cold Archive;Cold Archive;Cold Archive;Cold Archive;Cold Archive;Cold Archive
Object Storage;Object Storage;Object Storage;Object storage;Object Storage;Object Storage;Object Storage
Starter;Starter;Starter;Starter;Starter;Starter;Starter
;;;Offre packagée;;Oferta pakietowa;
Das private Netzwerk vRack;vRack private network;Red privada vRack;Réseau privé vRack;Rete privata vRack;Prywatna sieć vRack;Rede privada vRack
;compute resources;;ressources de calcul;;;
Start 10M;Start 10M;Start 10M;Start 10M;Start 10M;Start 10M;Start 10M
Performance Hosting;Performance Hosting;Hosting Performance;Hébergement Performance;Hosting Performance;Hosting Performance;Alojamento Performance
Cloud Webhosting;Cloud Web Hosting;Hosting Cloud Web;Hébergement Cloud Web;Hosting Cloud Web;Hosting Cloud Web;Alojamento Cloud Web
Control Center;Control Center;Control Center;Control Center;Control Center;Control Center;Control Center
Hosted Exchange;Hosted Exchange;Hosted Exchange;Hosted Exchange;Hosted Exchange;Hosted Exchange;Hosted Exchange
High Grade;High Grade;High Grade;High Grade;High Grade;High Grade;High Grade
Data Catalog;Data Catalog;Data Catalog;Data Catalog;Data Catalog;Data Catalog;Data Catalog
;;;Bare Metal Cloud;;Bare Metal Cloud;
IOPS;IOPS;IOPS;IOPS;IOPS;IOPS;IOPS
VPS;VPS;VPS;VPS;VPS;VPS;VPS
Additional IP;Additional IP;Additional IP;Additional IP;Additional IP;Additional IP;Additional IP
;Domain Name Registrant;;Titulaire d’un Nom de Domaine;;;
HYCU for ovhcloud;HYCU for ovhcloud;HYCU for ovhcloud;HYCU for ovhcloud;HYCU for ovhcloud;;HYCU for ovhcloud
OpenSearch;OpenSearch;OpenSearch;OpenSearch;OpenSearch;OpenSearch;OpenSearch
Trusted Zone;Trusted Zone;Trusted Zone;Zone de confiance;Trusted Zone;Trusted Zone;Zonas de Confiança
Enterprise File Storage;Enterprise File Storage;Enterprise File Storage;Enterprise File Storage;Enterprise File Storage;Enterprise File Storage;Enterprise File Storage
Private Image Catalog;Private Image Catalog;Private Image Catalog;Private Image catalog;Private Image Catalog;Private Image Catalog;Private Image Catalog
Managed Kubernetes Service;Managed Kubernetes Service;Managed Kubernetes Service;Managed Kubernetes Service;Managed Kubernetes;Managed Kubernetes;Managed Kubernetes Service
;Domain names;Dominios;Noms de domaine;Domini;Domeny;Nomes de domínio
SSL-Zertifikat "Sectigo DV";Sectigo DV SSL certificate;Certificado SSL Sectigo DV;Certificat SSL Sectigo DV;Certificato SSL Sectigo DV;Certyfikat SSL Sectigo DV;Certificado SSL Sectigo DV
;Web security;Protección web;Sécurité web;Sicurezza Web;Bezpieczeństwo sieci;Segurança web
;Guaranteed resources;Guaranteed Resources;Guaranteed resources;Guaranteed Resources;Guaranteed Resources;Guaranteed Resources
;;;PERFORMANCE 4;;Performance 4;
Public VCF as-a-Service;Public VCF as-a-Service;Public VCF as-a-Service;Public VCF as-a-Service;Public VCF as-a-Service;Public VCF as-a-Service;Public VCF as-a-Service
Game;Game;Game;Game;Game;Game;Game
OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA);OVHcloud Link Aggregation (OLA)
SharePoint;SharePoint;SharePoint;SharePoint;SharePoint;SharePoint;SharePoint
Enterprise Support;Enterprise Support;Soporte Enterprise;Support Enterprise;Supporto Enterprise;Enterprise;Suporte Enterprise
Rise;Rise;Rise;Rise;Rise;Rise;Rise
CDN Security;CDN Security;CDN Security;CDN Security;CDN Security;CDN Security;CDN Security
Lakehouse Manager;Lakehouse Manager;Lakehouse Manager;Lakehouse Manager;Lakehouse Manager;Lakehouse Manager;Lakehouse Manager
;conformance program;;programme de conformité;;;
Business Support;Business Support;Soporte Business;Support Business;Supporto Business;Business;Suporte Business
;Options;Opciones;Options;Opzioni;Opcje;Opções
;;;Sécurité web;;Bezpieczeństwo sieci;
OVHcloud AI Training;OVHcloud AI Training;OVHcloud AI Training;OVHcloud AI Training;OVHcloud AI Training;OVHcloud AI Training;OVHcloud AI Training
;Affiliates;;Sociétés Apparentées;;;
File Storage;File Storage;File storage;File storage;File Storage;File storage;File storage
Local Zone;Local Zone;Local Zone;Local Zone;Local Zone;Local Zone;Local Zone
Managed Veeam for VCD;Managed Veeam for VCD;Managed Veeam for VCD;Managed Veeam for VCD;Managed Veeam for VCD;Managed Veeam for VCD;Managed Veeam for VCD
Enterprise Cloud Databases;Enterprise Cloud Databases;Enterprise Cloud Databases;Enterprise Cloud Databases;Enterprise Cloud Databases;Enterprise Cloud Databases;Enterprise Cloud Databases
Logs Data Platform;Logs Data Platform;Logs Data Platform;Logs Data Platform;Logs Data Platform;Logs Data Platform;Logs Data Platform
Performance 1;Performance 1;Performance 1;Performance 1;Performance 1;Performance 1;Perf 1
DDoS-Schutz-Infrastruktur;Anti-DDoS infrastructure;Infraestructura anti-DDoS;Infrastructure Anti-DDoS;Infrastruttura anti-DDoS;Infrastruktura Anty-DDoS;Infraestrutura Anti-DDoS
MongoDB;MongoDB;MongoDB;MongoDB;MongoDB;MongoDB;MongoDB
NVIDIA NGC Platform;NVIDIA NGC Platform;NVIDIA NGC Platform;NVIDIA NGC Platform;NVIDIA NGC Platform;NVIDIA NGC Platform;NVIDIA NGC Platform
So you Start;So you Start;So you Start;So you Start;So you Start;So you Start;So you Start
Data Processing;Data Processing;Data Processing;Data Processing;Data Processing;Data Processing;Data Processing
Applications Services;Applications Services;Applications Services;Applications Services;Applications Services;Applications Services;Applications Services
;Dedicated Servers;Servidores dedicados;Serveurs dédiés;Server dedicati;Serwery dedykowane;Servidores dedicados
Cassandra;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra;Cassandra
Basic Hosting;Personal Hosting;Hosting Personal;Hébergement Perso;Hosting Personale;Hosting Perso;Alojamento Perso
;;;Sécurité des hôtes et services;;Bezpieczeństwo hostów i usług;
Archive;Archive;Archive;Archive;Archive;Archive;Archive
;;;PERFORMANCE 3;;Performance 3;
M3DB;M3DB;M3DB;M3DB;M3DB;M3DB;M3DB
;Public bandwidth;Ancho de banda público;Bande passante publique;Banda passante pubblica;Przepustowość do sieci publicznej;Largura de banda pública
SSL;SSL;SSL;SSL;SSL;SSL;SSL
Redis;Redis;Redis;Redis;Redis;Redis;Redis
Grafana;Grafana;Grafana;Grafana;Grafana;Grafana;Grafana
Performance 3;Performance 3;Performance 3;Performance 3;Performance 3;Performance 3;Perf 3
PostgreSQL;PostgreSQL;PostgreSQL;PostgreSQL;PostgreSQL;PostgreSQL;PostgreSQL
Comfort;Comfort;Comfort;Comfort;Comfort;Comfort;Comfort
;;;Hosted Private Cloud powered by VMware;;Hosted Private Cloud powered by VMware;
AI Notebooks;AI Notebooks;AI Notebooks;AI Notebooks;AI Notebooks;AI Notebooks;AI Notebooks
Value;Value;Value;Value;Value;Value;Value
Instance Backup;Instance Backup;Instance Backup;Instance Backup;Instance Backup;Instance Backup;Instance Backup
;Project Management;Project Management;Project management;Project Management;Project Management;Project Management
;white area;;Zone blanche;;;
Marketplace;Marketplace;Marketplace;Marketplace;Marketplace;Marketplace;Marketplace
;Infrastructure protection;Protección de infraestructura;Protection de l'infrastructure;Protezione dell'infrastruttura;Ochrona infrastruktury;Proteção da infraestrutura
Public Image Catalog;Public Image Catalog;Public Image Catalog;Public Image catalog;Public Image Catalog;Public Image Catalog;Public Image Catalog
;;;Pack Nutanix Advanced;;Pakiet Nutanix Advanced;
;SSL certificate as-a-Service;Certificado SSL as a Service;Certificat SSL as a Service;SSL Certificate as a Service;Certyfikat SSL as a Service;Certificado SSL as a Service
;;;PERFORMANCE 2;;Performance 2;
Standard Object Storage;Standard Object Storage;Standard Object Storage;Standard Object Storage;Standard Object Storage;Standard Object Storage;Standard Object Storage
;Web Hosting options;Opciones de alojamiento web;Options hébergement web;Opzioni hosting Web;Opcje hostingu;Opções de alojamento web
;AI & Machine Learning;AI & Machine Learning;AI & machine learning;AI & Machine Learning;AI & Machine Learning;AI & Machine Learning
Trusted Zone;Trusted Zone;Trusted Zone;Zone de confiance;Trusted Zone;Trusted Zone;Zonas de Confiança
Offsite Replication;Offsite Replication;Offsite Replication;Offsite Replication;Offsite Replication;Offsite Replication;Offsite Replication
Open Trusted Cloud;Open Trusted Cloud;Open Trusted Cloud;Open Trusted Cloud;Open Trusted Cloud;Open Trusted Cloud;Open Trusted Cloud
;;;Visibilité Pro;;Widoczna firma;
Discovery;Discovery;Discovery;Discovery;Discovery;Discovery;Discovery
Advance;Advance;Advance;Advance;Advance;Advance;Advance
DNSSEC;DNSSEC;DNSSEC;DNSSEC;DNSSEC;DNSSEC;DNSSEC
DDoS-Schutz;DDoS protection;DDoS Protection;Protection Anti-DDoS;Protezione anti-DDoS;Ochrona Anty-DDoS;Proteção DDoS
CDN Infrastructure;CDN Infrastructure;CDN Infrastructure;CDN Infrastructure;CDN Infrastructure;CDN Infrastructure;CDN Infrastructure
Metal Instance;Metal Instance;Metal Instance;Metal Instance;Metal Instance;Metal Instance;Metal Instance
Sicherheit von Hosts und Diensten (Hosted Private Cloud);Security for hosts and services (Hosted Private Cloud);Protección de hosts y servicios solo para Hosted Private Cloud;Sécurité des hôtes et services (Hosted Private Cloud);Sicurezza di host e servizi (Hosted Private Cloud);Bezpieczeństwo hostów i usług (Hosted Private Cloud);Segurança dos hosts e serviços (Hosted Private Cloud)
ML Serving;ML Serving;ML Serving;ML Serving;ML Serving;ML Serving;ML Serving
Data Platform;ForePaaS;Data Platform;Data Platform;Data Platform;Data Platform;Data Platform
;SMS;SMS;SMS;SMS;Usługa SMS;
Kimsufi;Kimsufi;Kimsufi;Kimsufi;Kimsufi;Kimsufi;Kimsufi
;Security for hosts and services;Protección de hosts y servicios;Sécurité des hôtes et services;Sicurezza di host e servizi;;Segurança dos hosts e serviços
Start SQL-Datenbanken;Start SQL Databases;Bases de datos Start SQL;Bases de données Start SQL;Database Start SQL;Bazy danych Start SQL;Bases de dados Start SQL
;Edge;;périphérie;;;
SSL-Zertifikat "Let's Encrypt";Let's Encrypt SSL certificate;Certificado SSL Let's Encrypt;Certificat SSL Let's Encrypt;Certificato SSL Let's Encrypt;Certyfikat SSL Let's Encrypt;Certificado SSL Let's Encrypt
Plesk Hosting (EOL);Plesk Hosting (EOL);Hosting Plesk (EOL);Hébergement Plesk (EOL);Hosting Plesk (EOL);Hosting Plesk (EOL);Alojamento Plesk (EOL)
Console Connect;Console Connect;Console Connect;Console Connect;Console Connect;Console Connect;Console Connect
Performance 2;Performance 2;Performance 2;Performance 2;Performance 2;Performance 2;Perf 2
Microsoft 365;Microsoft 365;Microsoft 365;Microsoft 365;Microsoft 365;Microsoft 365;Microsoft 365
;;;computer vision;;widzenie komputerowe;
;vRack Services;;;;vRack Services;
;;;Services et certifications;;Usługi i certyfikaty;
Kafka MirrorMaker;Kafka MirrorMaker;Kafka MirrorMaker;Kafka MirrorMaker;Kafka MirrorMaker;Kafka MirrorMaker;Kafka MirrorMaker
;;;Pack Nutanix Standard;;Pakiet Nutanix Standard;
OVHcloud Connect;OVHcloud Connect;OVHcloud Connect;OVHcloud Connect;OVHcloud Connect;OVHcloud Connect;OVHcloud Connect
Pro Hosting;Professional Hosting;Hosting Profesional;Hébergement Pro;Hosting Pro;Hosting Pro;Alojamento Pro
Storage;Storage;Storage;Storage;Storage;Storage;Storage
;Security;Seguridad;Sécurité;Sicurezza;Bezpieczeństwo;Segurança
Cloud Archive;Cloud Archive;Cloud Archive;Cloud Archive;Cloud Archive;Cloud Archive;Cloud Archive
SecNumCloud;SecNumCloud;SecNumCloud;SecNumCloud;SecNumCloud;SecNumCloud;SecNumCloud
;Data Analytics;Data Analytics;Data Analytics;Data Analytics;Data Analytics;Data Analytics
;;;Stockage et sauvegarde;;Przechowywanie i kopie zapasowe;
;decoupling;;découplage;;;
;Data localisation;;Localisation des données;;;
Eco Dedicated Server;Eco Dedicated Servers;Servidores dedicados Eco;Serveurs dédiés Eco;Server dedicati Eco;Serwery dedykowane Eco;Servidores dedicados Eco
Managed Rancher Service;Managed Rancher Service;Managed Rancher Service;Managed Rancher Service;Managed Rancher Service;Managed Rancher Service;Managed Rancher Service
;;;Offre Nutanix on OVHcloud packagée;;Oferta pakietowa Nutanix on OVHcloud;
High Performance Object Storage;High Performance Object Storage;High Performance Object Storage;High Performance Object Storage;High Performance Object Storage;High Performance Object Storage;High Performance Object Storage
;Service Endpoint;;;;Service Endpoint;
Bare Metal Cloud Netzwerkdienste;Network Services for Bare Metal Cloud;Servicios de red para Bare Metal Cloud;Services réseau Bare Metal Cloud;Servizi di rete Bare Metal Cloud;Usługi sieciowe Bare Metal Cloud;Serviços de rede Bare Metal Cloud
Cloud Web 2;Cloud Web 2;Cloud Web 2;Cloud Web 2;Cloud Web 2;Cloud Web 2;Cloud Web 2
Billing Control;Billing Control;Billing Control;Billing control;Billing Control;Billing Control;Billing Control
HA-NAS;HA-NAS;NAS-HA;NAS-HA;NAS-HA;NAS-HA;NAS-HA
;graphical console;;console graphique;;;
Compute;Compute;Compute;Compute;Compute;Compute;Compute
Backup Storage;Backup Storage;Backup Storage;Backup Storage;Backup Storage;Backup Storage;Backup Storage
Managed Bare Metal;Managed Bare Metal;Managed Bare Metal;Managed Bare Metal;Managed Bare Metal;Managed Bare Metal;Managed Bare Metal
Cloud Web 3;Cloud Web 3;Cloud Web 3;Cloud Web 3;Cloud Web 3;Cloud Web 3;Cloud Web 3
SSL-Zertifikat „Sectigo EV“;Sectigo EV SSL certificate;Certificado SSL Sectigo EV;Certificat SSL Sectigo EV;Certificato  SSL Sectigo EV;Certyfikat SSL Sectigo EV;Certificado SSL Sectigo EV
OpenStack Orchestration;OpenStack Orchestration;OpenStack Orchestration;OpenStack Orchestration;OpenStack Orchestration;OpenStack Orchestration;OpenStack Orchestration
;Registrant;;Titulaire;;;
Block Storage;Block Storage;Block Storage;Block Storage;Block Storage;Block Storage;Block Storage
;reseller;;revendeur;;;
User and Role Management;User and Role Management;User and Role Management;User and role management;User and Role Management;User and Role Management;User and Role Management
;;;conditions générales de service;;Ogólne warunki świadczenia usługi;
;sub-processor;;sous-traitant ultérieur;;;
Professional Services;Professional Services;Professional Services;Professional Services;Professional Services;Professional Services;Professional Services
SSL Gateway;SSL Gateway;SSL Gateway;SSL Gateway;SSL Gateway;SSL Gateway;SSL Gateway
M3 Aggregator;M3 Aggregator;M3 Aggregator;M3 Aggregator;M3 Aggregator;M3 Aggregator;M3 Aggregator
;tape storage;;archivage sur bande;;;
VMware on OVHcloud;VMware on OVHcloud;VMware on OVHcloud;VMware on OVHcloud;VMware on OVHcloud;VMware on OVHcloud;VMware on OVHcloud
Private SQL-Datenbanken;Private SQL Databases;Bases de datos SQL Privado;Bases de données SQL Privé;Database SQL Privato;Bazy danych Private SQL;Bases de dados SQL Privado
Workflow Management;Workflow Management;Workflow Management;Workflow management;Workflow Management;Workflow Management;Workflow Management
;Databases;Databases;Databases;Database;Databases;Databases
Essential;Essential;Essential;Essential;Essential;Essential;Essential
High Speed Gen2 Block Storage;High Speed Gen2 Block Storage;High Speed Gen2;High Speed Gen2 Block Storage;High Speed Gen2;High Speed Gen2 Block Storage;High Speed Gen2 Block Storage
;Registry operators;;Registres opérateurs;;;
OVHcloud Startup Program;OVHcloud Startup Program;OVHcloud Startup Program;Startup program;OVHcloud Startup Program;OVHcloud Startup Program;OVHcloud Startup Program
Premium Support;Premium Support;Soporte Premium;Support Premium;Supporto Premium;Premium;Suporte Premium
;;;Public VCF as-a-Service;;Public VCF as a Service;
;;;Web Cloud;;Web Cloud;
Game DDoS-Schutz;Anti-DDoS Game;Anti-DDoS Game;Anti-DDoS Game;Anti-DDoS Game;Anty-DDoS Game;Anti-DDoS Game
NSX Edge-Dienste;NSX Edge Services;Servicios NSX Edge;Services NSX Edge;Servizi NSX Edge;NSX Edge Services;Serviços NSX Edge
;Containers and Orchestration;Containers & Orchestration;Containers and orchestration;Containers and Orchestration;Containers & Orchestration;Containers & Orchestration
